epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2509.25,0.84111,0.69288,1.11009,0.84827,0.78451,0.83852,0.50829,1.33867,0.79496,1.49216,0.000520792,0.000520792,0.000520792
43,2568.71,0.83744,0.68865,1.11437,0.87424,0.77037,0.84369,0.51405,1.38278,0.7826,1.52402,0.000516079,0.000516079,0.000516079
44,2628.12,0.82715,0.66712,1.10167,0.86478,0.77683,0.83516,0.50642,1.41884,0.76175,1.54723,0.000511367,0.000511367,0.000511367
45,2687.42,0.82274,0.67238,1.09962,0.88133,0.7759,0.83987,0.50663,1.41325,0.77961,1.53788,0.000506654,0.000506654,0.000506654
46,2746.74,0.81844,0.66576,1.10205,0.88221,0.77606,0.83723,0.50795,1.40166,0.77208,1.53367,0.000501942,0.000501942,0.000501942
47,2806.15,0.81314,0.65871,1.09499,0.85551,0.77329,0.82163,0.5005,1.31369,0.78336,1.46943,0.00049723,0.00049723,0.00049723
48,2865.45,0.81516,0.65613,1.09255,0.90215,0.78125,0.84328,0.52647,1.31141,0.7385,1.44128,0.000492517,0.000492517,0.000492517
49,2924.8,0.8047,0.64654,1.09316,0.8734,0.77944,0.84047,0.51136,1.36894,0.73948,1.52112,0.000487805,0.000487805,0.000487805
50,2984.16,0.79751,0.6426,1.08968,0.88834,0.78334,0.84803,0.52594,1.29999,0.72292,1.46172,0.000483092,0.000483092,0.000483092
51,3043.61,0.79502,0.63744,1.08298,0.8709,0.78599,0.84168,0.5395,1.24788,0.72234,1.43379,0.00047838,0.00047838,0.00047838
52,3102.92,0.78173,0.62148,1.07374,0.88347,0.78768,0.84283,0.51435,1.34022,0.76338,1.48866,0.000473668,0.000473668,0.000473668
53,3162.2,0.79529,0.63663,1.08493,0.91647,0.76383,0.85043,0.52992,1.31988,0.73344,1.48709,0.000468955,0.000468955,0.000468955
54,3221.61,0.7791,0.63007,1.07318,0.89806,0.75624,0.8481,0.52062,1.33969,0.74494,1.48836,0.000464243,0.000464243,0.000464243
55,3280.98,0.78283,0.62519,1.07999,0.90248,0.76512,0.85097,0.53838,1.25014,0.71782,1.40248,0.00045953,0.00045953,0.00045953
56,3340.42,0.78318,0.62591,1.07492,0.87983,0.78734,0.84973,0.52294,1.32872,0.73165,1.47032,0.000454818,0.000454818,0.000454818
57,3399.83,0.76612,0.60001,1.06525,0.88707,0.77196,0.84192,0.53367,1.28155,0.71428,1.43636,0.000450106,0.000450106,0.000450106
58,3459.24,0.77082,0.61135,1.07154,0.88535,0.79165,0.8567,0.54667,1.21453,0.70442,1.39968,0.000445393,0.000445393,0.000445393
59,3519.31,0.76065,0.5997,1.06305,0.86892,0.8074,0.85163,0.53912,1.21568,0.71458,1.39507,0.000440681,0.000440681,0.000440681
60,3578.95,0.75642,0.5942,1.06075,0.8933,0.79822,0.86287,0.53948,1.29273,0.73392,1.46211,0.000435968,0.000435968,0.000435968
61,3638.75,0.76288,0.59764,1.06352,0.88824,0.78149,0.85089,0.51597,1.33942,0.69283,1.47463,0.000431256,0.000431256,0.000431256
62,3700.58,0.75792,0.5987,1.06091,0.89209,0.78878,0.85673,0.54273,1.26811,0.70662,1.44758,0.000426544,0.000426544,0.000426544
63,3760.32,0.74706,0.5832,1.05412,0.89385,0.80737,0.85923,0.55182,1.20717,0.69532,1.37573,0.000421831,0.000421831,0.000421831
64,3820.5,0.74447,0.5769,1.05037,0.90036,0.79924,0.86038,0.54123,1.31363,0.68365,1.45752,0.000417119,0.000417119,0.000417119
