epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.138,0.90772,1.62473,1.24257,0.89767,0.78492,0.85259,0.60018,0.91529,1.13876,1.13278,0.000199643,0.000199643,0.000378214
2,240.603,0.85077,1.47199,1.20136,0.90854,0.78129,0.85717,0.60947,0.90346,1.10998,1.12909,0.000199805,0.000199805,0.000199805
3,360.242,0.85146,1.4712,1.20215,0.91276,0.78083,0.85754,0.60852,0.90387,1.10672,1.12589,0.000199219,0.000199219,0.000199219
4,479.799,0.83983,1.4624,1.19364,0.9143,0.78291,0.86261,0.61236,0.89748,1.10695,1.11961,0.000198246,0.000198246,0.000198246
5,599.513,0.83867,1.41446,1.18679,0.90928,0.78445,0.86023,0.61087,0.90516,1.09985,1.12558,0.00019689,0.00019689,0.00019689
6,720.136,0.83384,1.43204,1.18847,0.91113,0.78205,0.86241,0.61227,0.90889,1.11922,1.13194,0.000195155,0.000195155,0.000195155
7,840.156,0.82973,1.44064,1.19338,0.90648,0.79189,0.86327,0.61462,0.89378,1.10166,1.12169,0.000193048,0.000193048,0.000193048
8,961.547,0.83774,1.42826,1.18593,0.91248,0.78503,0.86165,0.61191,0.9024,1.09733,1.12639,0.000190578,0.000190578,0.000190578
9,1080.84,0.82102,1.40193,1.18177,0.9076,0.78716,0.86007,0.61118,0.895,1.09749,1.11905,0.000187754,0.000187754,0.000187754
10,1199.26,0.82499,1.41899,1.1845,0.91188,0.7878,0.86498,0.61582,0.89608,1.0871,1.11565,0.000184588,0.000184588,0.000184588
11,1317.51,0.82702,1.41515,1.18045,0.90865,0.79485,0.86694,0.61908,0.88885,1.08333,1.10694,0.000181093,0.000181093,0.000181093
12,1435.81,0.81521,1.40164,1.17969,0.91689,0.78596,0.86321,0.61478,0.89346,1.09888,1.11466,0.000177281,0.000177281,0.000177281
13,1554.77,0.81934,1.39211,1.17914,0.91204,0.79367,0.86514,0.61745,0.88851,1.08018,1.11181,0.000173168,0.000173168,0.000173168
14,1672.55,0.80618,1.36426,1.17594,0.90237,0.79454,0.86538,0.61918,0.88173,1.07354,1.10663,0.00016877,0.00016877,0.00016877
15,1790.12,0.79538,1.33939,1.16017,0.90669,0.79584,0.86782,0.61698,0.89508,1.07344,1.12041,0.000164105,0.000164105,0.000164105
16,1907.88,0.81485,1.38108,1.17658,0.91431,0.78883,0.8666,0.61442,0.89655,1.08259,1.11951,0.000159191,0.000159191,0.000159191
17,2026.91,0.80018,1.35258,1.16507,0.91617,0.78992,0.86818,0.62067,0.88344,1.06588,1.11035,0.000154047,0.000154047,0.000154047
18,2144.79,0.78904,1.34033,1.16064,0.91014,0.79336,0.86868,0.62024,0.88246,1.05373,1.11255,0.000148694,0.000148694,0.000148694
19,2267.17,0.80031,1.35308,1.16682,0.90542,0.79743,0.86858,0.62176,0.87671,1.06621,1.10585,0.000143152,0.000143152,0.000143152
20,2387.02,0.79426,1.34532,1.1657,0.90785,0.79769,0.86862,0.61983,0.88623,1.05989,1.11167,0.000137444,0.000137444,0.000137444
21,2506.96,0.79538,1.35012,1.16422,0.90969,0.80086,0.87181,0.62296,0.87996,1.05662,1.10821,0.000131593,0.000131593,0.000131593
22,2627.63,0.77723,1.29993,1.15425,0.91133,0.80128,0.87172,0.62507,0.87459,1.05005,1.10106,0.00012562,0.00012562,0.00012562
23,2748.07,0.78152,1.28673,1.15193,0.91251,0.79947,0.87127,0.62579,0.87613,1.03727,1.10644,0.000119551,0.000119551,0.000119551
24,2868.86,0.78245,1.28949,1.15193,0.9079,0.80073,0.86971,0.62721,0.87009,1.04434,1.1011,0.000113408,0.000113408,0.000113408
25,2989.09,0.77592,1.28917,1.14341,0.92295,0.7977,0.86984,0.62646,0.87213,1.03659,1.10455,0.000107216,0.000107216,0.000107216
26,3107.28,0.77792,1.31459,1.15872,0.91149,0.80093,0.8719,0.62446,0.8765,1.0329,1.10753,0.000101,0.000101,0.000101
27,3225.32,0.7756,1.28313,1.14321,0.92516,0.79412,0.87122,0.62873,0.86872,1.03559,1.10021,9.47837e-05,9.47837e-05,9.47837e-05
28,3343.42,0.77443,1.27108,1.15022,0.91986,0.802,0.87474,0.63158,0.86121,1.02814,1.09418,8.8592e-05,8.8592e-05,8.8592e-05
29,3461.52,0.76381,1.26474,1.14322,0.9115,0.80414,0.87107,0.63063,0.86124,1.02423,1.09212,8.24492e-05,8.24492e-05,8.24492e-05
30,3579.62,0.75219,1.26092,1.14109,0.91371,0.80002,0.87217,0.63069,0.86278,1.02091,1.09522,7.63797e-05,7.63797e-05,7.63797e-05
31,3697.31,0.77089,1.28778,1.14469,0.91171,0.80127,0.87209,0.63091,0.85711,1.02232,1.09094,7.04073e-05,7.04073e-05,7.04073e-05
32,3815.45,0.76841,1.26722,1.14296,0.91753,0.80037,0.87306,0.63095,0.86427,1.01865,1.09853,6.45557e-05,6.45557e-05,6.45557e-05
33,3933.91,0.75212,1.22704,1.13145,0.91564,0.80207,0.87367,0.63463,0.85182,1.01065,1.08865,5.88479e-05,5.88479e-05,5.88479e-05
34,4051.84,0.74819,1.24264,1.1359,0.9109,0.80657,0.8749,0.63227,0.86363,1.01605,1.09898,5.33064e-05,5.33064e-05,5.33064e-05
35,4169.63,0.7472,1.23986,1.13538,0.91469,0.80279,0.87387,0.63335,0.85726,1.01314,1.09102,4.79531e-05,4.79531e-05,4.79531e-05
36,4300.63,0.68506,0.88002,1.07214,0.91143,0.79709,0.87025,0.6256,0.86489,1.03034,1.10046,4.28093e-05,4.28093e-05,4.28093e-05
37,4418.26,0.67192,0.85216,1.06263,0.91365,0.80142,0.87248,0.63002,0.8566,1.01945,1.09452,3.7895e-05,3.7895e-05,3.7895e-05
38,4535.61,0.67164,0.84596,1.06158,0.91521,0.80448,0.87377,0.6321,0.85355,1.01116,1.09192,3.32298e-05,3.32298e-05,3.32298e-05
39,4653.82,0.66055,0.84094,1.06074,0.9161,0.8037,0.87409,0.63313,0.85449,1.00854,1.09419,2.88321e-05,2.88321e-05,2.88321e-05
40,4772.14,0.66312,0.83608,1.05595,0.91576,0.80534,0.87444,0.63437,0.85339,1.00808,1.09247,2.47192e-05,2.47192e-05,2.47192e-05
41,4890.8,0.65595,0.83452,1.05493,0.90879,0.81017,0.87356,0.63448,0.85047,1.00871,1.08874,2.09073e-05,2.09073e-05,2.09073e-05
42,5009.26,0.65874,0.8317,1.05488,0.9113,0.80938,0.87513,0.63456,0.85034,1.00683,1.08845,1.74115e-05,1.74115e-05,1.74115e-05
43,5126.36,0.65834,0.83433,1.05693,0.90981,0.80921,0.87372,0.63421,0.84903,1.00413,1.08598,1.42456e-05,1.42456e-05,1.42456e-05
44,5243.82,0.65781,0.82746,1.05294,0.90898,0.81085,0.87513,0.63596,0.84805,1.00163,1.08667,1.14221e-05,1.14221e-05,1.14221e-05
